,Temp (oC),,,,,,
Time (min)
0,19,22,25,28,31,34,37
0,0.0209,0.0209,0.0176,0.0206,0.0194,0.0209,0.0194
30,0.0209,0.0213,0.0186,0.0218,0.0216,0.0295,0.0304
60,0.021,0.0221,0.0216,0.0256,0.0246,0.0388,0.0443
90,0.0214,0.024,0.0261,0.0302,0.0333,0.0521,0.0677
120,0.022,0.0269,0.0311,0.0388,0.0446,0.0802,0.0962
150,0.0229,0.0317,0.036,0.0491,0.0615,0.1051,0.1401
180,0.0248,0.0362,0.0428,0.0607,0.0797,0.1407,0.1993
210,0.0274,0.0413,0.0514,0.0778,0.1041,0.196,0.2895
240,0.0301,0.0471,0.0599,0.0947,0.1428,0.2723,0.3761
270,0.0327,0.0548,0.069,0.1163,0.1838,0.3442,0.4917
300,0.0358,0.0617,0.0821,0.1425,0.2248,0.4301,0.6285
330,0.0393,0.0712,0.0985,0.1754,0.2892,0.5221,0.751
360,0.0422,0.0791,0.1089,0.2227,0.3685,0.6102,0.8594
