PANGAEA_sample_identifier	Date[yyyy-mm-dd]	Latitude_[degrees_North]	Longitude_[degrees_East]	Sampling_depth_[m]	Size_fraction_upper_threshold_[micrometre]
TARA_X000000368	2009-09-15	36.5533	-6.5669	40	1.6
TARA_Y200000002	2009-09-15	36.5533	-6.5669	5	1.6
TARA_A200000159	2009-09-23	37.0541	1.9478	42	1.6
TARA_A200000113	2009-09-23	37.051	1.9378	5	1.6
TARA_X000001036	2009-09-28	39.0609	5.9422	55	1.6
TARA_X000000950	2009-09-28	39.1633	5.916	5	1.6
TARA_S200000501	2009-11-02	35.7528	14.2765	60	1.6
TARA_A100000172	2009-11-02	35.7528	14.2765	60	0.22
TARA_A100000164	2009-11-02	35.759	14.2574	5	1.6
TARA_A100000171	2009-11-02	35.759	14.2574	5	0.22
TARA_S200002703	2009-11-16	39.8386	17.4155	5	0.22
TARA_E500000081	2009-11-18	42.1735	17.7252	55	1.6
TARA_X000001382	2009-11-18	42.1735	17.7252	55	0.22
TARA_E500000075	2009-11-18	42.2038	17.715	5	1.6
TARA_E500000331	2009-11-23	39.3991	19.3997	50	1.6
TARA_E500000305	2009-11-23	39.3991	19.3997	50	0.22
TARA_E500000178	2009-11-23	39.3888	19.3905	5	1.6
TARA_E500000318	2009-11-23	39.3888	19.3905	5	0.22
TARA_A100001011	2009-12-15	33.9235	32.8118	70	1.6
TARA_X000001388	2009-12-15	33.9235	32.8118	70	0.22
TARA_A100001015	2009-12-15	33.9179	32.898	5	1.6
TARA_A100001388	2010-01-09	27.16	34.835	5	1.6
TARA_A100001391	2010-01-09	27.16	34.835	5	0.22
TARA_A100001037	2010-01-11	23.4183	37.245	80	1.6
TARA_A100001518	2010-01-11	23.4183	37.245	80	0.22
TARA_A100001035	2010-01-11	23.36	37.2183	5	1.6
TARA_A100001515	2010-01-11	23.36	37.2183	5	0.22
TARA_A100001234	2010-01-13	21.9467	38.2517	5	1.6
TARA_B100000029	2010-01-20	18.4417	39.8567	60	1.6
TARA_R100000008	2010-01-20	18.4417	39.8567	60	0.22
TARA_Y100000004	2010-01-20	18.3967	39.875	5	0.22
TARA_B100000003	2010-01-20	18.3967	39.875	5	1.6
TARA_R100000005	2010-01-20	18.3967	39.875	5	0.22
TARA_B100000035	2010-03-12	20.8222	63.5133	17	1.6
TARA_R100000030	2010-03-12	20.8222	63.5133	17	0.22
TARA_Y100000015	2010-03-12	20.8183	63.5047	5	0.22
TARA_Y100000022	2010-03-12	20.8183	63.5047	5	1.6
TARA_R100000027	2010-03-12	20.8183	63.5047	5	0.22
TARA_Y100000310	2010-03-12	20.8457	63.5851	600	0.22
TARA_B100000315	2010-03-12	20.8457	63.5851	600	1.6
TARA_B100000073	2010-03-15	19.0284	64.5126	25	1.6
TARA_R100000084	2010-03-15	19.0284	64.5126	25	0.22
TARA_Y100000296	2010-03-16	19.0351	64.5638	340	0.22
TARA_Y100000294	2010-03-16	19.0351	64.5638	340	1.6
TARA_Y100000289	2010-03-15	19.0393	64.4913	5	0.22
TARA_Y100000287	2010-03-15	19.0393	64.4913	5	1.6
TARA_R100000081	2010-03-15	19.0393	64.4913	5	0.22
TARA_B100000085	2010-03-18	18.5839	66.4727	25	1.6
TARA_R100000482	2010-03-18	18.5839	66.4727	25	0.22
TARA_Y100000034	2010-03-20	18.7341	66.3896	270	0.22
TARA_Y100000031	2010-03-20	18.7341	66.3896	270	1.6
TARA_Y100000033	2010-03-18	18.5918	66.622	5	0.22
TARA_R100000479	2010-03-18	18.5918	66.622	5	0.22
TARA_B100000287	2010-03-30	14.5536	70.0128	60	1.6
TARA_R100000458	2010-03-30	14.5536	70.0128	60	0.22
TARA_Y100000052	2010-03-30	14.6059	69.9776	5	0.22
TARA_B100000282	2010-03-30	14.6059	69.9776	5	1.6
TARA_R100000455	2010-03-30	14.6059	69.9776	5	0.22
TARA_B100000131	2010-04-04	5.9998	73.9067	80	1.6
TARA_R100000152	2010-04-04	5.9998	73.9067	80	0.22
TARA_B100000123	2010-04-04	6.0001	73.8955	5	1.6
TARA_R100000149	2010-04-04	6.0001	73.8955	5	0.22
TARA_B100000161	2010-04-13	0.0033	71.6428	5	1.6
TARA_R100000406	2010-04-15	-0.6625	73.161	5	0.22
TARA_Y100000114	2010-04-19	-9.3921	66.4228	5	0.22
TARA_B100000242	2010-04-19	-9.3921	66.4228	5	1.6
TARA_B100000214	2010-05-17	-16.9534	53.9601	75	1.6
TARA_R100000234	2010-05-17	-16.9534	53.9601	75	0.22
TARA_B100000212	2010-05-17	-16.957	53.9801	5	1.6
TARA_B100000378	2010-06-26	-15.3379	43.2948	1000	3
TARA_B000000609	2010-06-26	-15.3424	43.2965	5	3
TARA_B000000565	2010-06-27	-17.0248	42.7401	5	3
TARA_B000000557	2010-06-29	-17.2855	42.2866	66	3
TARA_B000000532	2010-07-03	-22.3368	40.3412	5	3
TARA_Y100000401	2010-07-08	-29.5333	37.9117	65	0.22
TARA_B100000405	2010-07-08	-29.5333	37.9117	65	3
TARA_R100000315	2010-07-08	-29.5333	37.9117	65	0.22
TARA_B100000408	2010-07-07	-29.5046	37.9599	1000	3
TARA_B100000401	2010-07-07	-29.5019	37.9889	5	3
TARA_R100000322	2010-07-07	-29.5019	37.9889	5	0.22
